1,2025-12-24 17:18:03,INFO,MODBUS,Connected to Modbus server
41,2025-12-24 17:18:49,INFO,DOBOT,Moving to pick_pos
42,2025-12-24 17:18:51,INFO,DOBOT,Suction
43,2025-12-24 17:18:52,INFO,DOBOT,Moving to pick_way_pos
44,2025-12-24 17:18:53,INFO,DOBOT,Moving to home
45,2025-12-24 17:18:55,INFO,DOBOT,Moving to sort_way_pos
46,2025-12-24 17:18:57,INFO,DOBOT,Moving to sort_pos
47,2025-12-24 17:18:58,INFO,DOBOT,Drop
48,2025-12-24 17:18:58,INFO,DOBOT,Moving to sort_way_pos
49,2025-12-24 17:18:59,INFO,DOBOT,Classification task completed
50,2025-12-24 17:18:59,INFO,SYSTEM,STATE = COMPLETE_TASK
51,2025-12-24 17:19:00,INFO,UART,Send(000)
52,2025-12-24 17:19:00,INFO,CONVEYOR,ON
53,2025-12-24 17:19:00,INFO,SYSTEM,STATE = DETECT_OBJECT
54,2025-12-24 17:19:02,INFO,D435i,Detected color : YELLOW
55,2025-12-24 17:19:06,INFO,D435i,Detected color : GREEN
56,2025-12-24 17:19:06,INFO,CONVEYOR,OFF
57,2025-12-24 17:19:06,INFO,UART,Send(010)
58,2025-12-24 17:19:06,INFO,SYSTEM,STATE = WAIT_CLASSIFY
59,2025-12-24 17:19:06,INFO,UART,Receive(101)
60,2025-12-24 17:19:06,INFO,SYSTEM,STATE = CLASSIFY_OBJECT
61,2025-12-24 17:19:06,INFO,DOBOT,Moving to home
62,2025-12-24 17:19:08,INFO,DOBOT,Moving to pick_way_pos
63,2025-12-24 17:19:08,INFO,UART,Receive(111)
64,2025-12-24 17:19:08,WARN,SYSTEM,EMERGENCY ON
65,2025-12-24 17:19:08,WARN,DOBOT,STOP
66,2025-12-24 17:19:09,INFO,UART,Receive(000)
67,2025-12-24 17:19:09,WARN,SYSTEM,EMERGENCY OFF
68,2025-12-24 17:19:09,INFO,DOBOT,Moving to pick_way_pos
69,2025-12-24 17:19:11,INFO,DOBOT,Moving to pick_pos
70,2025-12-24 17:19:13,INFO,DOBOT,Suction
71,2025-12-24 17:19:14,INFO,DOBOT,Moving to pick_way_pos
72,2025-12-24 17:19:15,INFO,DOBOT,Moving to home
73,2025-12-24 17:19:16,INFO,UART,Receive(111)
74,2025-12-24 17:19:16,WARN,SYSTEM,EMERGENCY ON
75,2025-12-24 17:19:16,WARN,DOBOT,STOP
76,2025-12-24 17:19:19,INFO,UART,Receive(000)
77,2025-12-24 17:19:19,WARN,SYSTEM,EMERGENCY OFF
78,2025-12-24 17:19:19,INFO,DOBOT,Moving to home
79,2025-12-24 17:19:21,INFO,UART,Receive(110)
80,2025-12-24 17:19:21,INFO,DOBOT,Moving to sort_way_pos
81,2025-12-24 17:19:22,INFO,DOBOT,Moving to sort_pos
82,2025-12-24 17:19:24,INFO,DOBOT,Drop
83,2025-12-24 17:19:24,INFO,DOBOT,Moving to sort_way_pos
84,2025-12-24 17:19:25,INFO,DOBOT,Classification task completed
85,2025-12-24 17:19:25,INFO,SYSTEM,STATE = COMPLETE_TASK
86,2025-12-24 17:19:25,INFO,UART,Send(000)
87,2025-12-24 17:19:25,INFO,SYSTEM,STATE = FINISH_PROCESS
88,2025-12-24 17:19:25,INFO,DOBOT,Moving to home
89,2025-12-24 17:19:39,INFO,SYSTEM,STATE = WAIT_START
90,2025-12-24 17:19:46,INFO,UART,Receive(110)
91,2025-12-24 17:19:47,INFO,SYSTEM,STATE = START_PROCESS
92,2025-12-24 17:19:47,INFO,CONVEYOR,ON
93,2025-12-24 17:19:47,INFO,SYSTEM,STATE = DETECT_OBJECT
94,2025-12-24 17:19:51,INFO,D435i,Detected color : YELLOW
95,2025-12-24 17:19:55,INFO,D435i,Detected color : YELLOW
96,2025-12-24 17:19:57,INFO,TURTLEBOT,Navigation started
97,2025-12-24 17:20:01,INFO,UART,Receive(111)
98,2025-12-24 17:20:01,WARN,SYSTEM,EMERGENCY ON
99,2025-12-24 17:20:01,INFO,CONVEYOR,OFF
100,2025-12-24 17:20:04,INFO,UART,Receive(000)
101,2025-12-24 17:20:04,WARN,SYSTEM,EMERGENCY OFF
102,2025-12-24 17:20:04,INFO,CONVEYOR,ON
103,2025-12-24 17:20:41,INFO,UART,Receive(111)
104,2025-12-24 17:20:41,WARN,SYSTEM,EMERGENCY ON
105,2025-12-24 17:20:41,INFO,CONVEYOR,OFF
106,2025-12-24 17:20:43,INFO,UART,Receive(000)
107,2025-12-24 17:20:43,WARN,SYSTEM,EMERGENCY OFF
108,2025-12-24 17:20:44,INFO,CONVEYOR,ON
